Sub_region;Region;Kompas;Kompas2
Abruzzo;Abruzzo;East;East
Cerasuolo d’Abruzzo;Abruzzo;East;East
Colline Teramane Montepulciano d’Abruzzo;Abruzzo;East;East
Montepulciano d'Abruzzo Colline Teramane;Abruzzo;East;East
Montepulciano d'Abruzzo;Abruzzo;East;East
Controguerra;Abruzzo;East;East
Colli Aprutini;Abruzzo;East;East
Colli del Sangro;Abruzzo;East;East
Colline Frentane;Abruzzo;East;East
Colline Pescaresi;Abruzzo;East;East
Colline Teatine;Abruzzo;East;East
del Vastese / Histonium;Abruzzo;East;East
Terre Aquilane / Terre de L’Aquila;Abruzzo;East;East
Terre di Chieti;Abruzzo;East;East
Montepulciano d’Abruzzo Colline Teramane;Abruzzo;East;East
Montepulciano d’Abruzzo;Abruzzo;East;East
Ortona;Abruzzo;East;East
Terre Tollesi / Tullum;Abruzzo;East;East
Trebbiano d’Abruzzo;Abruzzo;East;East
Villamagna;Abruzzo;East;East
Aglianico del Vulture;Basilicata;South;South
Aglianico del Vulture Superiore;Basilicata;South;South
Grottino di Roccanova;Basilicata;South;South
Basilicata;Basilicata;South;South
Matera;Basilicata;South;South
Terre dell’Alta Val d’Agri;Basilicata;South;South
Bivongi;Calabria;South;South-west
Cirò;Calabria;South;South-west
Greco di Bianco;Calabria;South;South-west
Arghillà;Calabria;South;South-west
Calabria;Calabria;South;South-west
Costa Viola;Calabria;South;South-west
Lipuda;Calabria;South;South-west
Locride;Calabria;South;South-west
Palizzi;Calabria;South;South-west
Pellaro;Calabria;South;South-west
Scilla;Calabria;South;South-west
Val di Neto;Calabria;South;South-west
Valdamato;Calabria;South;South-west
Lamezia;Calabria;South;South-west
Melissa;Calabria;South;South-west
S. Anna di Isola Capo Rizzuto;Calabria;South;South-west
Savuto;Calabria;South;South-west
Scavigna;Calabria;South;South-west
Terre di Cosenza;Calabria;South;South-west
Aglianico del Taburno;Campania;South;South-west
Aversa;Campania;South;South-west
Campi Flegrei;Campania;South;South-west
Capri;Campania;South;South-west
Casavecchia di Pontelatone;Campania;South;South-west
Castel San Lorenzo;Campania;South;South-west
Cilento;Campania;South;South-west
Costa d’Amalfi;Campania;South;South-west
Falanghina del Sannio;Campania;South;South-west
Falerno del Massico;Campania;South;South-west
Fiano di Avellino;Campania;South;South-west
Galluccio;Campania;South;South-west
Greco di Tufo;Campania;South;South-west
Benevento / Beneventano;Campania;South;South-west
Campania;Campania;South;South-west
Catalanesca del Monte Somma;Campania;South;South-west
Colli di Salerno;Campania;South;South-west
Dugenta;Campania;South;South-west
Epomeo;Campania;South;South-west
Paestum;Campania;South;South-west
Pompeiano;Campania;South;South-west
Roccamonfina;Campania;South;South-west
Terre del Volturno;Campania;South;South-west
Irpinia;Campania;South;South-west
Ischia;Campania;South;South-west
Penisola Sorrentina;Campania;South;South-west
Sannio;Campania;South;South-west
Taurasi;Campania;South;South-west
Vesuvio;Campania;South;South-west
Bosco Eliceo;Emilia Romagna;North;North
Colli Bolognesi;Emilia Romagna;North;North
Colli Bolognesi Pignoletto;Emilia Romagna;North;North
Colli d’Imola;Emilia Romagna;North;North
Colli di Faenza;Emilia Romagna;North;North
Colli di Parma;Emilia Romagna;North;North
Colli di Rimini;Emilia Romagna;North;North
Colli di Scandiano e di Canossa;Emilia Romagna;North;North
Colli Piacentini;Emilia Romagna;North;North
Colli Romagna Centrale;Emilia Romagna;North;North
Gutturnio;Emilia Romagna;North;North
Castelfranco Emilia;Emilia Romagna;North;North
Emilia / dell’Emilia;Emilia Romagna;North;North
Emilia;Emilia Romagna;North;North
Forlì;Emilia Romagna;North;North
Fortana del Taro;Emilia Romagna;North;North
Ravenna;Emilia Romagna;North;North
Rubicone;Emilia Romagna;North;North
Sillaro / Bianco del Sillaro;Emilia Romagna;North;North
Terre di Veleja;Emilia Romagna;North;North
Val Tidone;Emilia Romagna;North;North
Lambrusco di Sorbara;Emilia Romagna;North;North
Lambrusco Grasparossa di Castelvetro;Emilia Romagna;North;North
Lambrusco Salamino di Santa Croce;Emilia Romagna;North;North
Modena;Emilia Romagna;North;North
Ortrugo dei Colli Piacentini;Emilia Romagna;North;North
Pignoletto;Emilia Romagna;North;North
Reggiano;Emilia Romagna;North;North
Reno;Emilia Romagna;North;North
Romagna Albana;Emilia Romagna;North;North
Romagna;Emilia Romagna;North;North
Carso / Carso-Kras;Friuli-Venezia Giulia;North;North-east
Colli Orientali del Friuli Picolit;Friuli-Venezia Giulia;North;North-east
Collio Goriziano / Collio;Friuli-Venezia Giulia;North;North-east
Delle Venezie;Friuli-Venezia Giulia;North;North-east
Friuli / Friuli Venezia Giulia;Friuli-Venezia Giulia;North;North-east
Friuli Annia;Friuli-Venezia Giulia;North;North-east
Friuli Aquileia;Friuli-Venezia Giulia;North;North-east
Friuli Colli Orientali;Friuli-Venezia Giulia;North;North-east
Friuli Grave;Friuli-Venezia Giulia;North;North-east
Friuli Isonzo / Isonzo del Friuli;Friuli-Venezia Giulia;North;North-east
Friuli Latisana;Friuli-Venezia Giulia;North;North-east
Alto Livenza;Friuli-Venezia Giulia;North;North-east
delle Venezie (pre-2017);Friuli-Venezia Giulia;North;North-east
Trevenezie;Friuli-Venezia Giulia;North;North-east
Venezia Giulia;Friuli-Venezia Giulia;North;North-east
Lison;Friuli-Venezia Giulia;North;North-east
Lison-Pramaggiore;Friuli-Venezia Giulia;North;North-east
Prosecco;Friuli-Venezia Giulia;North;North-east
Ramandolo;Friuli-Venezia Giulia;North;North-east
Rosazzo;Friuli-Venezia Giulia;North;North-east
Aleatico di Gradoli;Lazio;West;West
Aprilia;Lazio;West;West
Atina;Lazio;West;West
Bianco Capena;Lazio;West;West
Cannellino di Frascati;Lazio;West;West
Castelli Romani;Lazio;West;West
Cerveteri;Lazio;West;West
Cesanese del Piglio / Piglio;Lazio;West;West
Cesanese di Affile / Affile;Lazio;West;West
Cesanese di Olevano Romano / Olevano Romano;Lazio;West;West
Circeo;Lazio;West;West
Colli Albani;Lazio;West;West
Colli della Sabina;Lazio;West;West
Colli Etruschi Viterbesi / Tuscia;Lazio;West;West
Colli Lanuvini;Lazio;West;West
Cori;Lazio;West;West
Est! Est!! Est!!! di Montefiascone;Lazio;West;West
Frascati;Lazio;West;West
Frascati Superiore;Lazio;West;West
Genazzano;Lazio;West;West
Anagni;Lazio;West;West
Civitella d’Agliano;Lazio;West;West
Colli Cimini;Lazio;West;West
Costa Etrusco Romana;Lazio;West;West
Frusinate / del Frusinate;Lazio;West;West
Lazio;Lazio;West;West
Marino;Lazio;West;West
Montecompatri-Colonna / Montecompatri / Colonna;Lazio;West;West
Nettuno;Lazio;West;West
Orvieto;Lazio;West;West
Roma;Lazio;West;West
Tarquinia;Lazio;West;West
Terracina / Moscato di Terracina;Lazio;West;West
Velletri;Lazio;West;West
Vignanello;Lazio;West;West
Zagarolo;Lazio;West;West
Cinque Terre / Cinque Terre Sciacchetrà;Liguria;North;North-west
Colli di Luni;Liguria;North;North-west
Colline di Levanto;Liguria;North;North-west
Golfo del Tigullio–Portofino / Portofino;Liguria;North;North-west
Colline del Genovesato;Liguria;North;North-west
Colline Savonesi;Liguria;North;North-west
Liguria di Levante;Liguria;North;North-west
Terrazze dell’Imperiese;Liguria;North;North-west
Pornassio / Ormeasco di Pornassio;Liguria;North;North-west
Riviera Ligure di Ponente;Liguria;North;North-west
Rossese di Dolceacqua / Dolceacqua;Liguria;North;North-west
Val Polcèvera;Liguria;North;North-west
Bonarda dell’Oltrepò Pavese;Lombardia;North;North
Botticino;Lombardia;North;North
Buttafuoco dell’Oltrepò Pavese / Buttafuoco;Lombardia;North;North
Capriano del Colle;Lombardia;North;North
Casteggio;Lombardia;North;North
Cellatica;Lombardia;North;North
Curtefranca;Lombardia;North;North
Franciacorta;Lombardia;North;North
Garda Colli Mantovani;Lombardia;North;North
Garda;Lombardia;North;North
Alpi Retiche;Lombardia;North;North
Alto Mincio;Lombardia;North;North
Benaco Bresciano;Lombardia;North;North
Bergamasca;Lombardia;North;North
Collina del Milanese;Lombardia;North;North
Montenetto di Brescia;Lombardia;North;North
Provincia di Mantova;Lombardia;North;North
Provincia di Pavia;Lombardia;North;North
Quistello;Lombardia;North;North
Ronchi di Brescia;Lombardia;North;North
Ronchi Varesini;Lombardia;North;North
Sabbioneta;Lombardia;North;North
Sebino;Lombardia;North;North
Terrazze Retiche di Sondrio (pre-2017);Lombardia;North;North
Terre Lariane;Lombardia;North;North
Valcamonica;Lombardia;North;North
Lambrusco Mantovano;Lombardia;North;North
Lugana;Lombardia;North;North
Oltrepò Pavese;Lombardia;North;North
Oltrepò Pavese Metodo Classico;Lombardia;North;North
Oltrepò Pavese Pinot Grigio;Lombardia;North;North
Pinot Nero dell’Oltrepò Pavese;Lombardia;North;North
Riviera del Garda Bresciano / Garda Bresciano (pre-2017);Lombardia;North;North
Riviera del Garda Classico;Lombardia;North;North
San Colombano al Lambro / San Colombano;Lombardia;North;North
San Martino della Battaglia;Lombardia;North;North
Sangue di Giuda dell’Oltrepò Pavese / Sangue di Giuda;Lombardia;North;North
Sangue di Giuda dell'Oltrepo Pavese;Lombardia;North;North
Scanzo / Moscato di Scanzo;Lombardia;North;North
Sforzato di Valtellina / Sfursat di Valtellina;Lombardia;North;North
Sforzato della Valtellina;Lombardia;North;North
Terre del Colleoni / Colleoni;Lombardia;North;North
Valcalepio;Lombardia;North;North
Valtellina;Lombardia;North;North
Valtellina Rosso / Rosso di Valtellina;Lombardia;North;North
Valtellina Superiore;Lombardia;North;North
Valtènesi (pre-2017);Lombardia;North;North
Bianchello del Metauro;Marche;East;East
Castelli di Jesi Verdicchio Riserva;Marche;East;East
Colli Maceratesi;Marche;East;East
Colli Pesaresi;Marche;East;East
Cònero;Marche;East;East
Esino;Marche;East;East
Falerio;Marche;East;East
I Terreni di Sanseverino;Marche;East;East
Marche;Marche;East;East
Lacrima di Morro / Lacrima di Morro d’Alba;Marche;East;East
Offida;Marche;East;East
Pergola;Marche;East;East
Rosso Conero;Marche;East;East
Rosso Cònero;Marche;East;East
Rosso Piceno / Piceno;Marche;East;East
San Ginesio;Marche;East;East
Serrapetrona;Marche;East;East
Terre di Offida;Marche;East;East
Verdicchio dei Castelli di Jesi;Marche;East;East
Verdicchio di Matelica;Marche;East;East
