,price,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,alcohol_pct,residual_sugar_g/l,acidity_g/l,winery
0,2050.86 kr.,75,11.0,72.21300000000002,40.0278,18.0,20.8148,,,,Marion
1,11500 kr.,49,405.0,61.6076,80.2688,9.65777,82.9995,,,,Giacomo Conterno
2,1100 kr.,40,83.0,85.0,27.6326,46.497,27.5195,,,,Tedeschi
3,1251.36 kr.,37,382.0,61.3094,77.8291,7.14819,82.4921,,,,Vietti
4,825 kr.,30,24.0,85.0,19.9018,47.9276,20.3641,,,,Ernesto Ruffo
5,551.19 kr.,30,446.0,62.9817,77.5835,3.59214,82.2477,,,,Giacomo Fenocchio
6,11500 kr.,28,405.0,61.6076,80.2688,9.65777,82.9995,,,,Giacomo Conterno
7,11500 kr.,146,405.0,61.6076,80.2688,9.65777,82.9995,14.5,,,Giacomo Conterno
8,7500 kr.,625,1102.0,55.7506,45.8604,17.6432,46.0755,14.5,,,Masseto
9,7500 kr.,602,1102.0,55.7506,45.8604,17.6432,46.0755,14.5,,,Masseto
10,10022.04 kr.,554,7837.0,61.8753,64.8031,10.8233,54.8694,12.5,,,Tenuta San Guido
11,3071.09 kr.,167,220.0,45.5689,39.5138,19.6554,50.1003,14.0,,,Soldera
12,1597.34 kr.,727,890.0,82.2484,26.396,50.1406,26.5069,16.5,,,Quintarelli Giuseppe
13,1861.39 kr.,138,127.0,84.4,23.6774,49.9391,24.7806,,,,Zýmē
14,3414.43 kr.,138,72.0,78.2931,20.2669,49.2746,19.32,,,,Quintarelli Giuseppe
15,9663.09 kr.,136,405.0,61.6076,80.2688,9.65777,82.9995,14.5,,,Giacomo Conterno
16,7448.56 kr.,123,57.0,85.0,26.0082,54.5732,28.1912,17.0,,,Quintarelli Giuseppe
17,5165.20 kr.,121,497.0,63.7827,69.4635,9.09049,85.0,,,,Gaja
18,4022.22 kr.,112,928.0,85.0,28.1078,52.7147,22.1691,17.5,,,Dal Forno Romano
19,6167.41 kr.,106,1127.0,64.3381,77.4755,8.46257,85.0,,,,Gaja
20,4022.22 kr.,95,928.0,85.0,28.1078,52.7147,22.1691,,,,Dal Forno Romano
21,4022.22 kr.,94,928.0,85.0,28.1078,52.7147,22.1691,16.5,,,Dal Forno Romano
22,5995 kr.,91,1102.0,55.7506,45.8604,17.6432,46.0755,15.0,,,Masseto
23,2383.54 kr.,90,324.0,69.4151,41.5222,36.8113,23.8708,16.5,,,Quintarelli Giuseppe
24,7058.25 kr.,84,520.0,42.8514,56.5698,12.7679,63.61,,,,Soldera
25,1861.39 kr.,78,127.0,84.4,23.6774,49.9391,24.7806,,,,Zýmē
26,6828.09 kr.,72,520.0,42.8514,56.5698,12.7679,63.61,,,,Soldera
27,7448.56 kr.,72,57.0,85.0,26.0082,54.5732,28.1912,17.0,,,Quintarelli Giuseppe
28,7448.56 kr.,69,57.0,85.0,26.0082,54.5732,28.1912,16.5,,,Quintarelli Giuseppe
29,5888.67 kr.,68,29.0,72.2274,40.4564,12.9354,26.8515,,,,Garbole
30,3595 kr.,67,100.0,51.2809,43.1345,11.9642,48.9864,14.0,,,Antinori
31,4022.22 kr.,66,928.0,85.0,28.1078,52.7147,22.1691,,,,Dal Forno Romano
32,1264.74 kr.,66,341.0,69.4509,21.8387,48.9808,12.6898,,,,Varvaglione
33,248.33 kr.,61,10.0,56.1346,50.3269,0.0,50.7269,,,,Fattoria di Rodano
34,3135.21 kr.,60,220.0,45.5689,39.5138,19.6554,50.1003,13.0,,,Soldera
35,602.32 kr.,59,24.0,85.0,19.9018,47.9276,20.3641,,,,Ernesto Ruffo
36,603.71 kr.,55,14.0,84.3759,46.0927,26.4388,21.8899,,,,Viticoltori de Conciliis
37,366.78 kr.,52,91.0,84.7623,19.3278,59.1403,18.8164,,,,Monte Faustino
38,2378.32 kr.,51,324.0,69.4151,41.5222,36.8113,23.8708,,,,Quintarelli Giuseppe
