,manufacturer,link,name,year,name_year,manufacturer_name_year,manufacturer_name
0,Salvioni,https://www.dn.no/smak/vin/salvioni-brunello-di-montalcino/4-1-8683,Salvioni Brunello di Montalcino,2005,Salvioni Brunello di Montalcino 2005,Salvioni Salvioni Brunello di Montalcino 2005,Salvioni Salvioni Brunello di Montalcino
1,Giacomo Conterno,https://www.dn.no/smak/vin/barolo-riserva-monfortino/4-1-8462,Barolo Riserva Monfortino,2002,Barolo Riserva Monfortino 2002,Giacomo Conterno Barolo Riserva Monfortino 2002,Giacomo Conterno Barolo Riserva Monfortino
2,Giacomo Conterno,https://www.dn.no/smak/vin/giacomo-conterno-barolo-monfortino-riserva/4-1-82423,Giacomo Conterno Barolo Monfortino Riserva,2013,Giacomo Conterno Barolo Monfortino Riserva 2013,Giacomo Conterno Giacomo Conterno Barolo Monfortino Riserva 2013,Giacomo Conterno Giacomo Conterno Barolo Monfortino Riserva
3,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-crichet-paje/4-1-83287,Roagna Barbaresco Crichët Paje,2010,Roagna Barbaresco Crichët Paje 2010,Az. Agr. Roagna Roagna Barbaresco Crichët Paje 2010,Az. Agr. Roagna Roagna Barbaresco Crichët Paje
4,Soldera,https://www.dn.no/smak/vin/case-basse-sangiovese/4-1-81047,Case Basse Sangiovese,2014,Case Basse Sangiovese 2014,Soldera Case Basse Sangiovese 2014,Soldera Case Basse Sangiovese
5,Soldera,https://www.dn.no/smak/vin/case-basse-sangiovese/4-1-66644,Case Basse Sangiovese,2013,Case Basse Sangiovese 2013,Soldera Case Basse Sangiovese 2013,Soldera Case Basse Sangiovese
6,Biondi Santi Il Greppo,https://www.dn.no/smak/vin/biondi-santi-brunello-di-montalcino-riserva/4-1-66799,Biondi Santi Brunello di Montalcino Riserva,2011,Biondi Santi Brunello di Montalcino Riserva 2011,Biondi Santi Il Greppo Biondi Santi Brunello di Montalcino Riserva 2011,Biondi Santi Il Greppo Biondi Santi Brunello di Montalcino Riserva
7,Giacomo Conterno,https://www.dn.no/smak/vin/giacomo-conterno-barolo-cascina-francia/4-1-82428,Giacomo Conterno Barolo Cascina Francia,2015,Giacomo Conterno Barolo Cascina Francia 2015,Giacomo Conterno Giacomo Conterno Barolo Cascina Francia 2015,Giacomo Conterno Giacomo Conterno Barolo Cascina Francia
8,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-asili/4-1-72392,Barbaresco Riserva Asili,2014,Barbaresco Riserva Asili 2014,Prod. del Barbaresco Barbaresco Riserva Asili 2014,Prod. del Barbaresco Barbaresco Riserva Asili
9,Prod. del Barbaresco,https://www.dn.no/smak/vin/barbaresco-riserva-montestefano/4-1-72387,Barbaresco Riserva Montestefano,2014,Barbaresco Riserva Montestefano 2014,Prod. del Barbaresco Barbaresco Riserva Montestefano 2014,Prod. del Barbaresco Barbaresco Riserva Montestefano
10,Gaja,https://www.dn.no/smak/vin/barbaresco-sori-tildin/4-1-39180,Barbaresco Sorì Tildìn,2013,Barbaresco Sorì Tildìn 2013,Gaja Barbaresco Sorì Tildìn 2013,Gaja Barbaresco Sorì Tildìn
11,Az. Agr. Cappellano,https://www.dn.no/smak/vin/barolo-pie-franco-michet/4-1-35446,Barolo Pie Franco Michet,2011,Barolo Pie Franco Michet 2011,Az. Agr. Cappellano Barolo Pie Franco Michet 2011,Az. Agr. Cappellano Barolo Pie Franco Michet
12,Az. Agr. Roagna,https://www.dn.no/smak/vin/barbaresco-paje-vecchie-viti/4-1-30007,Barbaresco Pajé Vecchie Viti,2010,Barbaresco Pajé Vecchie Viti 2010,Az. Agr. Roagna Barbaresco Pajé Vecchie Viti 2010,Az. Agr. Roagna Barbaresco Pajé Vecchie Viti
13,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-paje-vecchie-viti/4-1-83286,Roagna Barbaresco Paje Vecchie Viti,2014,Roagna Barbaresco Paje Vecchie Viti 2014,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti 2014,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti
14,Salvioni,https://www.dn.no/smak/vin/salvioni-brunello-di-montalcino/4-1-28159,Salvioni Brunello di Montalcino,2010,Salvioni Brunello di Montalcino 2010,Salvioni Salvioni Brunello di Montalcino 2010,Salvioni Salvioni Brunello di Montalcino
15,Giuseppe Rinaldi,https://www.dn.no/smak/vin/barolo-tre-tine/4-1-23089,Barolo Tre Tine,2010,Barolo Tre Tine 2010,Giuseppe Rinaldi Barolo Tre Tine 2010,Giuseppe Rinaldi Barolo Tre Tine
16,Produttori del Barbaresco,https://www.dn.no/smak/vin/moccagatta-barbaresco-riserva/4-1-8150,Moccagatta Barbaresco Riserva,2005,Moccagatta Barbaresco Riserva 2005,Produttori del Barbaresco Moccagatta Barbaresco Riserva 2005,Produttori del Barbaresco Moccagatta Barbaresco Riserva
17,Tenuta Greppo-Franco Biondi Santi,https://www.dn.no/smak/vin/brunello-di-montalcino-riserva/4-1-13545,Brunello di Montalcino Riserva,2004,Brunello di Montalcino Riserva 2004,Tenuta Greppo-Franco Biondi Santi Brunello di Montalcino Riserva 2004,Tenuta Greppo-Franco Biondi Santi Brunello di Montalcino Riserva
18,San Guido,https://www.dn.no/smak/vin/sassicaia/4-1-83634,Sassicaia,2016,Sassicaia 2016,San Guido Sassicaia 2016,San Guido Sassicaia
19,Az. Agr. Roagna,https://www.dn.no/smak/vin/barbaresco-montefico-vecchie-viti/4-1-81082,Barbaresco Montefico Vecchie Viti,2013,Barbaresco Montefico Vecchie Viti 2013,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti 2013,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti
20,Az. Agr. Roagna,https://www.dn.no/smak/vin/barbaresco-montefico-vecchie-viti/4-1-67523,Barbaresco Montefico Vecchie Viti,2013,Barbaresco Montefico Vecchie Viti 2013,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti 2013,Az. Agr. Roagna Barbaresco Montefico Vecchie Viti
21,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-paje-vecchie-viti/4-1-67525,Roagna Barbaresco Paje Vecchie Viti,2013,Roagna Barbaresco Paje Vecchie Viti 2013,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti 2013,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti
22,Az. Agr. Roagna,https://www.dn.no/smak/vin/roagna-barbaresco-paje-vecchie-viti/4-1-81084,Roagna Barbaresco Paje Vecchie Viti,2013,Roagna Barbaresco Paje Vecchie Viti 2013,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti 2013,Az. Agr. Roagna Roagna Barbaresco Paje Vecchie Viti
