,name,rating,region,link
0,Raro Cabernet Sauvignon Selezione ,4.9,Veneto,https://www.vivino.com/marion-raro-cabernet-sauvignon-selezione/w/5926791?year=2007
1,Barolo Riserva Monfortino ,4.9,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=1985
2,La Fabriseria Amarone della Valpolicella Classico ,4.9,Amarone della Valpolicella Classico,https://www.vivino.com/agricola-flli-tedeschi-srl-la-fabriseria-amarone-della-valpolicella-classico/w/11839?year=2003
3,Barolo Lazzarito ,4.9,Barolo,https://www.vivino.com/vietti-barolo-lazzarito/w/77450?year=2000
4,Basaltico Amarone della Valpolicella ,4.9,Amarone della Valpolicella,https://www.vivino.com/ernesto-ruffo-basaltico-amarone-della-valpolicella/w/1579828?year=2004
5,Barolo Riserva Bussia  Dì ,4.9,Barolo,https://www.vivino.com/giacomo-fenocchio-barolo-riserva-bussia-90-di/w/1142310?year=1978
6,Toscana ,4.8,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2006
7,Sassicaia ,4.8,Bolgheri Sassicaia,https://www.vivino.com/tenuta-san-guido-sassicaia/w/5078?year=1985
8,Case Basse Sangiovese Toscana ,4.8,Toscana,https://www.vivino.com/soldera-case-basse-sangiovese-toscana/w/2669217?year=2013
9,Amarone della Valpolicella Classico ,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico/w/84065?year=2003
10,La Mattonara Amarone della Valpolicella Classico Riserva ,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/zyme-la-mattonara-amarone-della-valpolicella-classico-riserva/w/1364756?year=2003
11,Amarone della Valpolicella Classico Superiore ,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico-superiore/w/1169473?year=1995
12,Amarone della Valpolicella Classico Riserva ,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico-riserva/w/1187886?year=2003
