,name,rating,sub_region,year,price_DKK,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,cardinal_1,cardinal_2
0,Passivento Rosso ,3.6,Terre Siciliane,2019,93.17 ,96,1103.0,0.7447399999999998,0.330456,0.44252800000000003,0.210002,Barone Montalto,bold,semi smooth,sweet,soft,Sicilia,South,South
1,Pillastro Primitivo Puglia ,4.0,Puglia,2019,69 ,823,2072.0,0.654435,0.15407099999999999,0.387081,0.0663218,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
2,Fantini Sangiovese Terre di Chieti ,3.6,Terre di Chieti,2019,84.17 ,70,1001.0,0.424077,0.328759,0.06571639999999998,0.403993,Farnese,semi light,semi smooth,dry,semi soft,Abruzzo,East,East
3,Appassite Negroamaro - Primitivo ,4.0,Puglia,2019,89.17 ,102,800.0,0.825,0.334615,0.349416,0.184099,Luna Argenta,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
4,Passivento Rosso ,3.6,Terre Siciliane,2019,93.17 ,97,1103.0,0.744727,0.330469,0.44256999999999996,0.210016,Barone Montalto,bold,semi smooth,sweet,soft,Sicilia,South,South
5,Pillastro Selezione d'Oro Primitivo - Negroamaro ,4.0,Puglia,2019,89 ,110,490.0,0.656593,0.163739,0.388239,0.09194100000000001,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
6,Negroamaro ,3.6,Puglia,2019,94.95 ,53,157.0,0.628985,0.391077,0.329067,0.356845,Masso Antico,semi bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
7,Appassite Negroamaro - Primitivo ,4.0,Puglia,2019,89.17 ,102,800.0,0.825,0.334615,0.349416,0.184099,Luna Argenta,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
8,Appassimento Rosso ,4.1,Puglia,2019,89 ,150,166.0,0.782304,0.39059600000000005,0.38654499999999997,0.22456600000000002,Capo Zafferano,bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
9,Negroamaro - Primitivo ,3.7,Salento,2019,59 ,168,406.0,0.825,0.27918000000000004,0.290822,0.183596,Il Brutto,bold,semi smooth,semi dry,soft,Puglia,East,South-east
10,Nero d'Avola Terre Siciliane ,3.7,Terre Siciliane,2019,69 ,30,145.0,0.825,0.333765,0.254032,0.19500800000000001,Massivo,bold,semi smooth,semi dry,soft,Sicilia,South,South
11,Oltre Passo Primitivo ,3.4,Salento,2019,65 ,80,221.0,0.617241,0.15509599999999998,0.476667,0.079329,Botter,semi bold,smooth,sweet,soft,Puglia,East,South-east
12,Primitivo di Manduria ,4.0,Primitivo di Manduria,2019,89 ,55,329.0,0.620621,0.255164,0.35957500000000003,0.21133400000000002,Capo Zafferano,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
13,Zinfandel ,3.5,Puglia,2019,68 ,29,129.0,0.650714,0.180267,0.45002499999999995,0.081305,Mammoth,semi bold,smooth,sweet,soft,Puglia,East,South-east
14,Primitivo ,4.1,Salento,2019,58.62 ,4933,2259.0,0.61066,0.172299,0.425432,0.091158,Doppio Passo,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
15,Donna Marzia Primitivo Salento ,3.8,Salento,2019,119 ,68,131.0,0.6409090000000001,0.217421,0.33501600000000004,0.124232,Conti Zecca,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
16,Rèmole Rosso ,3.7,Toscana,2019,46.18 ,133,1798.0,0.39832700000000004,0.35965800000000003,0.0066615,0.42363300000000004,Frescobaldi,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
17,La Corte del Pozzo Bardolino ,3.1,Bardolino,2019,96 ,198,222.0,0.351129,0.392286,0.101803,0.320581,Fasoli Gino,light,semi smooth,dry,semi soft,Veneto,North,North-east
18,Lezèr ,3.9,Vigneti delle Dolomiti,2019,117.17 ,347,274.0,0.436663,0.33271500000000004,0.148336,0.36106299999999997,Foradori,semi light,semi smooth,semi dry,semi soft,Veneto,North,North-east
19,Primitivo di Manduria ,4.0,Primitivo di Manduria,2019,89 ,54,329.0,0.620621,0.255164,0.35957500000000003,0.21133400000000002,Capo Zafferano,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
20,Ciliegiolo Maremma Toscana ,3.8,Maremma Toscana,2019,87.15 ,36,92.0,0.357998,0.38832700000000003,0.0211134,0.481139,Antonio Camillo,light,semi smooth,dry,semi acidic,Toscana,North,North-west
21,Edizione Cinque Autoctoni ,4.5,Abruzzo,2019,149 ,134,3941.0,0.698018,0.355739,0.26025200000000004,0.278428,Farnese,bold,semi smooth,semi dry,semi soft,Abruzzo,East,East
22,Nero d'Avola Terre Siciliane ,3.7,Terre Siciliane,2019,69 ,30,145.0,0.825,0.333765,0.254032,0.19500800000000001,Massivo,bold,semi smooth,semi dry,soft,Sicilia,South,South
23,Edizione Cinque Autoctoni ,4.5,Abruzzo,2019,249 ,135,3941.0,0.698169,0.355909,0.259962,0.27828800000000004,Farnese,bold,semi smooth,semi dry,semi soft,Abruzzo,East,East
24,Appassimento ,3.9,Puglia,2019,79.95 ,1204,1450.0,0.7245180000000001,0.35132599999999997,0.299358,0.264036,Casa Marrone,bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
25,Donna Marzia Primitivo Salento ,3.8,Salento,2019,119 ,67,131.0,0.6409090000000001,0.217421,0.33501600000000004,0.124232,Conti Zecca,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
26,Pillastro Selezione d'Oro Primitivo - Negroamaro ,4.0,Puglia,2019,89 ,109,490.0,0.6565770000000001,0.163715,0.388193,0.091929,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
27,U...Passimiento Rouge ,4.3,Terre Siciliane,2019,66.29 ,41,888.0,0.825,0.30585799999999996,0.34200699999999995,0.17927700000000002,Baglio Gibellina,bold,semi smooth,semi sweet,soft,Sicilia,South,South
28,Negroamaro - Primitivo ,3.7,Salento,2019,59 ,168,406.0,0.825,0.27918000000000004,0.290822,0.183596,Il Brutto,bold,semi smooth,semi dry,soft,Puglia,East,South-east
29,No Added Sulfites Cabernet ,3.8,Veneto,2019,112 ,28,40.0,0.555526,0.33346600000000004,0.22237200000000001,0.36965899999999996,Pizzolato,semi bold,semi smooth,semi dry,semi soft,Veneto,North,North-east
30,Pillastro Primitivo Puglia ,4.0,Puglia,2019,69 ,821,2070.0,0.654438,0.15407,0.386872,0.0663225,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
31,Nero d'Avola ,3.5,Terre Siciliane,2019,95 ,145,290.0,0.783333,0.348703,0.23168299999999997,0.22903199999999999,Purato,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
32,Appassimento Rosso ,4.1,Puglia,2019,89 ,150,165.0,0.782247,0.39063000000000003,0.386396,0.224617,Capo Zafferano,bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
33,Valpolicella ,3.6,Valpolicella,2019,72.25 ,45,1053.0,0.39515,0.290555,0.105434,0.542165,Allegrini,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
34,Zinfandel ,3.5,Puglia,2019,68 ,29,129.0,0.650714,0.180267,0.45002499999999995,0.081305,Mammoth,semi bold,smooth,sweet,soft,Puglia,East,South-east
35,Nero d'Avola ,3.5,Terre Siciliane,2019,95 ,143,290.0,0.783333,0.348703,0.23168299999999997,0.22903199999999999,Purato,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
36,Dogliani ,3.5,Dogliani,2019,78.21 ,31,609.0,0.606596,0.409196,0.123929,0.298276,Luigi Einaudi,semi bold,semi smooth,dry,semi soft,Piemonte,North,North-west
37,Terrazze Pinot Nero ,3.8,Provincia di Pavia,2018,159 ,39,47.0,0.269612,0.20791,0.0,0.638941,Mazzolino,light,smooth,dry,acidic,Lombardia,North,North
38,Rosso ,3.4,Puglia,2018,85 ,63,22.0,0.6326519999999999,0.267176,0.34667000000000003,0.20880600000000002,Tebaldo,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
39,L'U Umbria Rosso ,3.8,Umbria,2018,64.06 ,98,176.0,0.43623100000000004,0.328731,0.133483,0.41,Lungarotti,semi light,semi smooth,dry,semi soft,Umbria,Central,Central
40,Famiglia Zingarelli Chianti Classico ,3.7,Chianti Classico,2018,88.64 ,227,1779.0,0.423826,0.538038,0.0,0.6224679999999999,Rocca delle Macìe,semi light,semi tannic,dry,acidic,Toscana,North,North-west
41,Tufaliccio Rosso ,3.7,Lazio,2018,129 ,140,68.0,0.47943800000000003,0.350271,0.0252555,0.366167,Marco Carpineti,semi light,semi smooth,dry,semi soft,Lazio,West,West
42,Valpolicella Classico Le Caleselle ,3.4,Valpolicella Classico,2018,63.31 ,26,39.0,0.415781,0.298248,0.07529,0.48093800000000003,Santi,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
43,Toscana ,3.7,Toscana,2018,61.31 ,3625,2921.0,0.41753,0.353276,0.05497330000000001,0.423013,Santa Cristina,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
44,Rosso di Montalcino ,3.7,Rosso di Montalcino,2018,96.83 ,36,170.0,0.442569,0.397668,0.044133399999999996,0.483298,Tenuta di Sesta,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
45, Vites ,3.8,Piemonte,2018,66.60 ,1526,286.0,0.531337,0.34041600000000005,0.196425,0.30115699999999995,Miliasso,semi bold,semi smooth,semi dry,semi soft,Piemonte,North,North-west
