,name,rating,sub_region,year,"price, kr.",light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,kompas,kompas2
0,Zinfandel ,3.5,Puglia,2019,68 ,0.650714,0.180267,0.45002499999999995,0.081305,Mammoth,semi bold,smooth,sweet,soft,Puglia,East,South-east
1,Rèmole Rosso ,3.7,Toscana,2019,46.18 ,0.39826500000000004,0.359694,0.007171500000000002,0.423663,Frescobaldi,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
2,Pillastro Primitivo Puglia ,4.0,Puglia,2019,69 ,0.654441,0.154082,0.387048,0.06630760000000001,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
3,Nero d'Avola Terre Siciliane ,3.7,Terre Siciliane,2019,69 ,0.825,0.333765,0.254032,0.19500800000000001,Massivo,bold,semi smooth,semi dry,soft,Sicilia,South,South
4,Fantini Sangiovese Terre di Chieti ,3.6,Terre di Chieti,2019,84.17 ,0.42370199999999997,0.328743,0.06532639999999999,0.403992,Farnese,semi light,semi smooth,dry,semi soft,Abruzzo,East,East
5,Appassimento Rosso ,4.1,Puglia,2019,89 ,0.782247,0.39063000000000003,0.386396,0.224617,Capo Zafferano,bold,semi smooth,semi sweet,semi soft,Puglia,East,South-east
6,Negroamaro - Primitivo ,3.7,Salento,2019,59 ,0.825,0.279858,0.291397,0.18355,Il Brutto,bold,smooth,semi dry,soft,Puglia,East,South-east
7,Lezèr ,3.9,Vigneti delle Dolomiti,2019,117.17 ,0.436663,0.33271500000000004,0.148336,0.36106299999999997,Foradori,semi light,semi smooth,semi dry,semi soft,Veneto,North,North-east
8,Passivento Rosso ,3.6,Terre Siciliane,2019,93.17 ,0.744764,0.33094,0.442969,0.209521,Barone Montalto,bold,semi smooth,sweet,soft,Sicilia,South,South
9,Ciliegiolo Maremma Toscana ,3.8,Maremma Toscana,2019,87.15 ,0.357998,0.38832700000000003,0.0211134,0.481139,Antonio Camillo,light,semi smooth,dry,semi acidic,Toscana,North,North-west
10,No Added Sulfites Cabernet ,3.8,Veneto,2019,112 ,0.555526,0.33346600000000004,0.22237200000000001,0.36965899999999996,Pizzolato,semi bold,semi smooth,semi dry,semi soft,Veneto,North,North-east
11,Appassite Negroamaro - Primitivo ,4.0,Puglia,2019,89.17 ,0.825,0.334615,0.349416,0.184099,Luna Argenta,bold,semi smooth,semi sweet,soft,Puglia,East,South-east
12,Pillastro Selezione d'Oro Primitivo - Negroamaro ,4.0,Puglia,2019,89 ,0.6565770000000001,0.163715,0.388193,0.091929,Cantine due Palme,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
13,La Corte del Pozzo Bardolino ,3.1,Bardolino,2019,96 ,0.351129,0.392286,0.101803,0.320581,Fasoli Gino,light,semi smooth,dry,semi soft,Veneto,North,North-east
14,Donna Marzia Primitivo Salento ,3.8,Salento,2019,119 ,0.6409090000000001,0.217421,0.33501600000000004,0.124232,Conti Zecca,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
15,Oltre Passo Primitivo ,3.4,Salento,2019,65 ,0.615727,0.15545,0.47877699999999995,0.079876,Botter,semi bold,smooth,sweet,soft,Puglia,East,South-east
16,Morandina Valpolicella ,3.6,Valpolicella,2018,169 ,0.38488,0.298326,0.09136,0.545565,Prà,semi light,semi smooth,dry,semi acidic,Veneto,North,North-east
17,Vernaiolo Chianti ,3.6,Chianti,2018,64.43 ,0.378253,0.522139,0.0159293,0.594175,Rocca delle Macìe,light,semi tannic,dry,semi acidic,Toscana,North,North-west
18,Terrazze Pinot Nero ,3.8,Provincia di Pavia,2018,159 ,0.269612,0.20791,0.0,0.638941,Mazzolino,light,smooth,dry,acidic,Lombardia,North,North
19,Etna Rosso ,3.9,Etna,2018,149 ,0.7432840000000001,0.431502,0.216537,0.315293,Tenuta delle Terre Nere,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
20,Nebbiolo Langhe Capisme-e ,3.8,Langhe,2018,149 ,0.627401,0.718138,0.053233300000000004,0.8155509999999999,Domenico Clerico,semi bold,tannic,dry,acidic,Piemonte,North,North-west
21,Aglaea Nerello Mascalese ,4.0,Terre Siciliane,2018,149 ,0.6667350000000001,0.392192,0.17938199999999999,0.31780500000000006,Tenuta di Aglaea,semi bold,semi smooth,semi dry,semi soft,Sicilia,South,South
22,San Luigi Dogliani ,3.6,Dogliani,2018,139 ,0.582356,0.406942,0.14487100000000003,0.285409,Chionetti,semi bold,semi smooth,dry,semi soft,Piemonte,North,North-west
23,Lillovè Cannonau di Sardegna ,3.6,Cannonau di Sardegna,2018,139 ,0.624694,0.367737,0.0199064,0.403909,Gabbas,semi bold,semi smooth,dry,semi soft,Sardegna,West,West
24,Moma Rosso ,3.8,Emilia,2018,135 ,0.43666699999999997,0.342037,0.0667431,0.403846,Umberto Cesari,semi light,semi smooth,dry,semi soft,Emilia Romagna,North,North
