,name,rating,region,"price, kr.",light-bold,smooth-tannic,dry-sweet,soft-acidic,winery
0,Raro Cabernet Sauvignon Selezione ,4.9,Veneto,2050.86 ,69.71300000000001,37.5278,15.5,18.3148,Marion
1,Barolo Riserva Monfortino ,4.9,Barolo,11500 ,59.1076,77.7688,7.157769999999999,80.4995,Giacomo Conterno
2,La Fabriseria Amarone della Valpolicella Classico ,4.9,Amarone della Valpolicella Classico,1100 ,82.5,25.1326,43.997,25.0195,Tedeschi
3,Barolo Lazzarito ,4.9,Barolo,1251.36 ,58.8094,75.3291,4.64819,79.9921,Vietti
4,Basaltico Amarone della Valpolicella ,4.9,Amarone della Valpolicella,825 ,82.5,17.4018,45.4276,17.8641,Ernesto Ruffo
5,Barolo Riserva Bussia  Dì ,4.9,Barolo,551.19 ,60.4817,75.0835,1.09214,79.7477,Giacomo Fenocchio
6,Toscana ,4.8,Toscana,7500 ,53.251999999999995,43.3563,15.148299999999999,43.6284,Masseto
7,Sassicaia ,4.8,Bolgheri Sassicaia,10022.04 ,59.3826,62.306,8.3242,52.3703,Tenuta San Guido
8,Case Basse Sangiovese Toscana ,4.8,Toscana,3071.09 ,43.0689,37.0138,17.1554,47.6003,Soldera
9,Amarone della Valpolicella Classico ,4.8,Amarone della Valpolicella Classico,1597.34 ,79.7484,23.896,47.6406,24.0069,Quintarelli Giuseppe
10,La Mattonara Amarone della Valpolicella Classico Riserva ,4.8,Amarone della Valpolicella Classico,1861.39 ,81.9,21.1774,47.4391,22.2806,Zýmē
11,Amarone della Valpolicella Classico Superiore ,4.8,Amarone della Valpolicella Classico,3414.43 ,75.7931,17.7669,46.7746,16.82,Quintarelli Giuseppe
12,Amarone della Valpolicella Classico Riserva ,4.8,Amarone della Valpolicella Classico,7448.56 ,82.5,23.5082,52.0732,25.6912,Quintarelli Giuseppe
13,Sorì Tildìn (Barbaresco) Langhe ,4.8,Langhe,5165.20 ,61.2827,66.9635,6.590489999999999,82.5,Gaja
14,Amarone della Valpolicella Monte Lodoletta ,4.8,Amarone della Valpolicella,4022.22 ,82.5,25.6078,50.2147,19.6691,Dal Forno Romano
15,Sperss Langhe ,4.8,Langhe,6167.41 ,61.8381,74.9755,5.9625699999999995,82.5,Gaja
16,Veneto Alzero Cabernet ,4.8,Veneto,2383.54 ,66.9151,39.0222,34.3113,21.3708,Quintarelli Giuseppe
17,Brunello di Montalcino Riserva ,4.8,Brunello di Montalcino,7058.25 ,40.3514,54.0698,10.2679,61.11,Soldera
18,Hurlo ,4.8,Veneto,5888.67 ,69.7274,37.9564,10.4354,24.3515,Garbole
19,Tenuta Guado al Tasso Matarocchio ,4.8,Maremma Toscana,3595 ,48.7809,40.6345,9.4642,46.4864,Antinori
20,Cosimo Varvaglione Collezione Privata Primitivo di Manduria ,4.8,Primitivo di Manduria,1264.74 ,66.9509,19.3387,46.4808,10.1898,Varvaglione
21,Lazzicante Merlot di Toscana ,4.8,Toscana,248.33 ,53.6346,47.8269,-2.5,48.2269,Fattoria di Rodano
22,Sisifo Aglianico ,4.8,Paestum,603.71 ,81.8759,43.5927,23.9388,19.3899,Viticoltori de Conciliis
23,L'Amarone del Maestro Fornaser ,4.8,Amarone della Valpolicella,366.78 ,82.2623,16.8278,56.6403,16.3164,Monte Faustino
24,Il Caberlot ,4.8,Toscana,2312.78 ,51.1466,38.2629,15.253900000000002,41.733999999999995,Podere Il Carnasciale
25,Brunate - Le Coste Barolo ,4.8,Barolo,2500 ,57.3794,71.6505,3.5985199999999997,80.762,Giuseppe Rinaldi
26,Barolo Bussia Riserva ,4.8,Barolo,1139 ,63.4075,74.8989,12.2813,70.48100000000001,Parusso
27,Barolo Cannubi Riserva Collezione ,4.8,Barolo,4196.36 ,65.0754,79.5528,-2.5,77.4874,Tenuta Carretta
28,Millecento Brunello di Montalcino Riserva ,4.8,Brunello di Montalcino,2104.15 ,42.6065,53.556000000000004,5.63978,59.6961,Castiglion del Bosco
29,Marcoaurelio ,4.8,Marche,710.21 ,46.25,33.75,15.0,46.25,Tenuta Colle del Giglio
30,Nino Zeni Amarone della Valpolicella ,4.8,Amarone della Valpolicella,999 ,82.5,29.4892,40.9758,16.0457,Zeni
31,Poggio Banale Brunello di Montalcino ,4.8,Brunello di Montalcino,,45.6276,58.8865,11.7423,65.5995,La Poderina
32,Opera Amarone della Valpolicella Barrique ,4.8,Amarone della Valpolicella,625.31 ,82.5,29.5349,52.93600000000001,15.0,Villa Contea
33,Barolo Riserva Granbussia ,4.8,Barolo,5000 ,60.7969,77.002,8.6704,82.5,Aldo Conterno
34,Sorì San Lorenzo ,4.8,Langhe,6167.41 ,60.5573,77.8868,8.2209,82.5,Gaja
35,Brunello Di Montalcino ,4.8,Toscana,368.70 ,43.8125,54.7443,12.357999999999999,61.143,Scopeto del Cavalli
36,Oracolo Veneto Rosso ,4.8,Veneto,975 ,68.7061,38.0614,21.6301,17.7091,Inama Azienda Agricola
37,J Prognai Amarone della Valpolicella ,4.8,Amarone della Valpolicella,719.76 ,79.3617,16.3963,38.7234,21.3564,Fratelli Giuliari
38,Brunello di Montalcino ,4.8,Brunello di Montalcino,245.50 ,43.6821,53.0132,4.39991,59.9643,Terre del Palio
39, Sessantanni Old Vines Primitivo di Manduria ,4.8,Primitivo di Manduria,189 ,66.4496,19.7573,44.6014,8.6188,San Marzano
40,Graticciaia ,4.8,Salento,399.39 ,82.5,33.667,33.2152,21.4706,Vallone
41,Colombaio Brunello di Montalcino ,4.8,Brunello di Montalcino,488.86 ,52.4791,51.2015,8.7871,62.544700000000006,Cava d'Onice
42,Bolgheri Superiore ,4.7,Bolgheri Superiore,1773.13 ,61.9045,62.313,10.5071,51.4651,Ornellaia
43,Tenuta Tignanello 'Solaia' ,4.7,Toscana,2299 ,49.6449,38.6974,12.3636,41.8446,Antinori
44,Barbaresco ,4.7,Barbaresco,1595 ,58.0813,65.9937,4.610180000000001,82.5,Gaja
45,Campo del Titari Amarone della Valpolicella Classico Riserva ,4.7,Amarone della Valpolicella Classico,685.27 ,82.5,24.0652,51.3176,20.7517,Brunelli
46,Veneto Rosso del Bepi ,4.7,Veneto,1195 ,63.923500000000004,37.8224,24.4687,25.3835,Quintarelli Giuseppe
47,Amarone della Valpolicella Classico Vigneto Alto TB ,4.7,Amarone della Valpolicella Classico,1250 ,82.5,20.3448,50.6769,16.9234,Bussola
48,Cerretalto Brunello di Montalcino ,4.7,Brunello di Montalcino,2197 ,50.6201,56.0414,9.5625,61.903099999999995,Casanova di Neri
49, ,4.7,Bolgheri Superiore,2482.19 ,58.2598,44.303999999999995,12.7374,40.6092,Ornellaia
50,Campo Inferi Amarone della Valpolicella Classico Riserva ,4.7,Amarone della Valpolicella Classico,399 ,82.5,22.9507,45.8716,19.2949,Brunelli
51,Harlequin ,4.7,Veneto,1638.68 ,65.2385,39.7073,28.0721,27.6897,Zýmē
52,Messorio ,4.7,Toscana,2000 ,51.9799,40.0601,12.849,42.2092,Le Macchiole
53,Brunello di Montalcino Riserva Madonna del Piano ,4.7,Brunello di Montalcino,1340 ,47.7703,57.3879,7.1779399999999995,62.321,Valdicava
54,Amarone della Valpolicella Classico Vigneto Il Fornetto ,4.7,Amarone della Valpolicella Classico,650 ,75.6219,28.4351,49.5678,25.3978,Stefano Accordini
55,Madonna delle Grazie Brunello di Montalcino ,4.7,Brunello di Montalcino,1299 ,49.1646,55.4933,10.2994,59.4741,Il Marroneto
56,Lodovico ,4.7,Toscana,2992.09 ,55.5508,38.4695,12.023,40.1259,Biserno
57,Rinaldi Maior Amarone della Valpolicella ,4.7,Amarone della Valpolicella,695 ,82.5,20.605999999999998,49.1652,21.7569,Villa Rinaldi
58,Conteisa Langhe ,4.7,Langhe,1295 ,60.0592,38.271,17.7293,24.5515,Gaja
59,Costa Russi (Barbaresco) Langhe ,4.7,Langhe,2475 ,59.4927,64.5936,9.4607,82.4943,Gaja
60,Gran Pumo d'Oro Primitivo di Manduria Riserva ,4.7,Primitivo di Manduria,179.39 ,72.1633,19.4539,44.5101,11.6605,Il Pumo
61,Habemus Lazio Rosso (White Label) ,4.7,Lazio,344.41 ,51.3329,38.5531,10.3593,43.2514,San Giovenale
62,Octavius Amarone della Valpolicella Riserva ,4.7,Amarone della Valpolicella,655.47 ,82.5,24.0895,46.4978,16.8188,Marchesi Fumanelli
63,Due Mori Amarone della Vapolicella Riserva ,4.7,Amarone della Valpolicella,795 ,82.5,29.865900000000003,39.4064,31.016800000000003,Latium Morini
64,Campolongo di Torbe Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,856.58 ,82.5,23.6048,48.3043,19.3787,Masi
65,Orgno Merlot Veronese ,4.7,Verona,455 ,67.1374,38.2174,15.743500000000001,19.8165,Fasoli Gino
66,Darmagi Langhe ,4.7,Langhe,1117.28 ,65.62100000000001,42.7751,15.1451,24.4873,Gaja
67,Redigaffi Toscana ,4.7,Toscana,2224.88 ,50.6769,39.2239,14.4144,40.6633,Tua Rita
