,name,rating,region,link
0,Raro Cabernet Sauvignon Selezione 2007,4.9,Veneto,https://www.vivino.com/marion-raro-cabernet-sauvignon-selezione/w/5926791?year=2007
1,Barolo Riserva Monfortino 1985,4.9,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=1985
2,La Fabriseria Amarone della Valpolicella Classico 2003,4.9,Amarone della Valpolicella Classico,https://www.vivino.com/agricola-flli-tedeschi-srl-la-fabriseria-amarone-della-valpolicella-classico/w/11839?year=2003
3,Barolo Lazzarito 2000,4.9,Barolo,https://www.vivino.com/vietti-barolo-lazzarito/w/77450?year=2000
4,Basaltico Amarone della Valpolicella 2004,4.9,Amarone della Valpolicella,https://www.vivino.com/ernesto-ruffo-basaltico-amarone-della-valpolicella/w/1579828?year=2004
5,Barolo Riserva Bussia 90 Dì 1978,4.9,Barolo,https://www.vivino.com/giacomo-fenocchio-barolo-riserva-bussia-90-di/w/1142310?year=1978
6,Barolo Riserva Monfortino 1974,4.9,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=1974
7,Barolo Riserva Monfortino 1997,4.8,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=1997
8,Toscana 2006,4.8,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2006
9,Toscana 2005,4.8,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2005
10,Sassicaia 1985,4.8,Bolgheri Sassicaia,https://www.vivino.com/tenuta-san-guido-sassicaia/w/5078?year=1985
11,Case Basse Sangiovese Toscana 2013,4.8,Toscana,https://www.vivino.com/soldera-case-basse-sangiovese-toscana/w/2669217?year=2013
12,Amarone della Valpolicella Classico 2003,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico/w/84065?year=2003
13,La Mattonara Amarone della Valpolicella Classico Riserva 2003,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/zyme-la-mattonara-amarone-della-valpolicella-classico-riserva/w/1364756?year=2003
14,Amarone della Valpolicella Classico Superiore 1995,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico-superiore/w/1169473?year=1995
15,Barolo Riserva Monfortino 2013,4.8,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=2013
16,Amarone della Valpolicella Classico Riserva 2003,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico-riserva/w/1187886?year=2003
17,Sorì Tildìn (Barbaresco) Langhe 1997,4.8,Langhe,https://www.vivino.com/gaja-sori-tildin-barbaresco-langhe/w/66134?year=1997
18,Amarone della Valpolicella Monte Lodoletta 1998,4.8,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=1998
19,Sperss Langhe 1988,4.8,Langhe,https://www.vivino.com/gaja-sperss-langhe/w/66194?year=1988
20,Amarone della Valpolicella Monte Lodoletta 1997,4.8,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=1997
21,Amarone della Valpolicella Monte Lodoletta 1996,4.8,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=1996
22,Toscana 2016,4.8,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=2016
23,Veneto Alzero Cabernet 2009,4.8,Veneto,https://www.vivino.com/quintarelli-giuseppe-veneto-alzero-cabernet/w/1194532?year=2009
24,Brunello di Montalcino Riserva 1994,4.8,Brunello di Montalcino,https://www.vivino.com/soldera-brunello-di-montalcino-riserva/w/1174525?year=1994
25,La Mattonara Amarone della Valpolicella Classico Riserva 2001,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/zyme-la-mattonara-amarone-della-valpolicella-classico-riserva/w/1364756?year=2001
26,Brunello di Montalcino Riserva 2008,4.8,Brunello di Montalcino,https://www.vivino.com/soldera-brunello-di-montalcino-riserva/w/1174525?year=2008
27,Amarone della Valpolicella Classico Riserva 2007,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico-riserva/w/1187886?year=2007
28,Amarone della Valpolicella Classico Riserva 1995,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/quintarelli-giuseppe-amarone-della-valpolicella-classico-riserva/w/1187886?year=1995
29,Hurlo 2009,4.8,Veneto,https://www.vivino.com/garbole-hurlo/w/2835341?year=2009
30,Tenuta Guado al Tasso Matarocchio 2013,4.8,Maremma Toscana,https://www.vivino.com/antinori-tuscany-tenuta-guado-al-tasso-matarocchio/w/1415698?year=2013
31,Amarone della Valpolicella Monte Lodoletta 1995,4.8,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=1995
32,Cosimo Varvaglione Collezione Privata Primitivo di Manduria 2002,4.8,Primitivo di Manduria,https://www.vivino.com/varvaglione-cosimo-varvaglione-collezione-privata-primitivo-di-manduria/w/4291453?year=2002
33,Lazzicante Merlot di Toscana 1999,4.8,Toscana,https://www.vivino.com/fattoria-di-rodano-lazzicante-merlot-di-toscana/w/779567?year=1999
34,Case Basse Sangiovese Toscana 2011,4.8,Toscana,https://www.vivino.com/soldera-case-basse-sangiovese-toscana/w/2669217?year=2011
35,Basaltico Amarone della Valpolicella 2009,4.8,Amarone della Valpolicella,https://www.vivino.com/ernesto-ruffo-basaltico-amarone-della-valpolicella/w/1579828?year=2009
36,Sisifo Aglianico 2009,4.8,Paestum,https://www.vivino.com/viticoltori-de-conciliis-sisifo-aglianico/w/3316504?year=2009
37,L'Amarone del Maestro Fornaser 2009,4.8,Amarone della Valpolicella,https://www.vivino.com/monte-faustino-l-amarone-del-maestro-fornaser/w/1219048?year=2009
38,Veneto Alzero Cabernet 1996,4.8,Veneto,https://www.vivino.com/quintarelli-giuseppe-veneto-alzero-cabernet/w/1194532?year=1996
39,Il Caberlot 2005,4.8,Toscana,https://www.vivino.com/podere-il-carnasciale-il-caberlot/w/1184188?year=2005
40,Brunate - Le Coste Barolo 1999,4.8,Barolo,https://www.vivino.com/giuseppe-rinaldi-brunate-le-coste-barolo/w/1100936?year=1999
41,Brunello di Montalcino Riserva 2010,4.8,Toscana,https://www.vivino.com/poggio-rubino-brunello-di-montalcino-riserva/w/1443846?year=2010
42,Barolo Bussia Riserva 1999,4.8,Barolo,https://www.vivino.com/parusso-barolo-bussia-riserva/w/1889182?year=1999
43,Barolo Cannubi Riserva Collezione 2010,4.8,Barolo,https://www.vivino.com/tenuta-carretta-barolo-cannubi-riserva-collezione/w/4611860?year=2010
44,Millecento Brunello di Montalcino Riserva 2005,4.8,Brunello di Montalcino,https://www.vivino.com/castiglion-del-bosco-millecento-brunello-di-montalcino-riserva/w/1311318?year=2005
45,Basaltico Amarone della Valpolicella 2006,4.8,Amarone della Valpolicella,https://www.vivino.com/ernesto-ruffo-basaltico-amarone-della-valpolicella/w/1579828?year=2006
46,Toscana 1992,4.8,Toscana,https://www.vivino.com/masseto-toscana/w/2446729?year=1992
47,Marcoaurelio 2005,4.8,Marche,https://www.vivino.com/tenuta-colle-del-giglio-marcoaurelio-marche/w/1314525?year=2005
48,Sorì Tildìn (Barbaresco) Langhe 1982,4.8,Langhe,https://www.vivino.com/gaja-sori-tildin-barbaresco-langhe/w/66134?year=1982
49,Nino Zeni Amarone della Valpolicella 2005,4.8,Amarone della Valpolicella,https://www.vivino.com/zeni-mimo-zani-amarone-della-valpolicella-valpolicella-red-wine-v-lghii/w/2627911?year=2005
50,Amarone della Valpolicella Classico 2004,4.8,Amarone della Valpolicella Classico,https://www.vivino.com/marchiopolo-amarone-della-valpolicella-classico/w/2039763?year=2004
51,Poggio Banale Brunello di Montalcino 2001,4.8,Brunello di Montalcino,https://www.vivino.com/saiagricola-spa-poggio-banale-brunello-di-montalcino/w/1222324?year=2001
52,Veneto Alzero Cabernet 1994,4.8,Veneto,https://www.vivino.com/quintarelli-giuseppe-veneto-alzero-cabernet/w/1194532?year=1994
53,Opera Amarone della Valpolicella Barrique 2010,4.8,Amarone della Valpolicella,https://www.vivino.com/villa-contea-opera-amarone-della-valpolicella-barrique/w/1543462?year=2010
54,Barolo Riserva Granbussia 1989,4.8,Barolo,https://www.vivino.com/aldo-conterno-barolo-riserva-granbussia/w/1138262?year=1989
